sample_idx,t_pc_s,segment_id,label,orta_acc_x,orta_acc_y,orta_acc_z,orta_gyro_x,orta_gyro_y,orta_gyro_z,sol_acc_x,sol_acc_y,sol_acc_z,sol_gyro_x,sol_gyro_y,sol_gyro_z,sag_acc_x,sag_acc_y,sag_acc_z,sag_gyro_x,sag_gyro_y,sag_gyro_z
1,3.0508878,1,rest_initial,1.1372,0.7254,9.1243,0.0682,0.0407,0.0061,0.4238,0.2466,9.9144,0.0344,0.0421,0.0107,0.7685,0.0215,9.8497,-0.0107,-0.0613,-0.0149
2,3.0530688,1,rest_initial,1.1253,0.7159,9.1554,0.0623,0.0383,0.0099,0.4046,0.2322,9.9551,0.032,0.0402,0.0133,0.7422,0.0503,9.7947,-0.0138,-0.0589,-0.0178
3,3.0538575,1,rest_initial,1.1277,0.7063,9.165,0.0639,0.0344,0.0096,0.419,0.2538,9.8641,0.033,0.0405,0.0117,0.7638,0.0431,9.7636,-0.0096,-0.0621,-0.0149
4,3.0545135,1,rest_initial,1.1109,0.7063,9.1147,0.0716,0.0399,0.0051,0.3926,0.1891,9.8833,0.0296,0.0431,0.0138,0.6895,0.0646,9.8402,-0.0149,-0.0621,-0.0146
5,3.0548343,1,rest_initial,1.0726,0.6752,9.1387,0.0647,0.0391,0.0051,0.4166,0.2251,9.9311,0.0325,0.041,0.0138,0.7254,0.0024,9.8785,-0.0146,-0.0586,-0.0157
6,3.0551785,1,rest_initial,1.0989,0.6919,9.165,0.0639,0.0391,0.0072,0.395,0.2514,9.9982,0.0306,0.0418,0.012,0.7039,0.0072,9.8162,-0.0091,-0.0607,-0.0146
7,3.0556293,1,rest_initial,1.1157,0.7183,9.1554,0.0658,0.0402,0.0061,0.4094,0.2682,9.924,0.0301,0.0399,0.0157,0.7614,0.0407,9.7037,-0.0107,-0.0586,-0.0149
8,3.055945,1,rest_initial,1.1157,0.6776,9.0884,0.0674,0.0391,0.0067,0.3879,0.249,9.9527,0.0328,0.0394,0.0157,0.7446,0.0168,9.8114,-0.0096,-0.0631,-0.0162
9,3.0562499,1,rest_initial,1.0918,0.6704,9.1339,0.0639,0.0357,0.0093,0.419,0.2705,9.8713,0.029,0.0391,0.0109,0.7398,-0.0072,9.9264,-0.0115,-0.0618,-0.0136
10,3.0565819,1,rest_initial,1.0678,0.7302,9.1195,0.0642,0.0421,0.008,0.3974,0.2418,9.9479,0.0306,0.0383,0.0128,0.7398,0.0431,9.8952,-0.0093,-0.0642,-0.0138
11,3.0568867,1,rest_initial,1.0918,0.7207,9.1051,0.0655,0.0341,0.0093,0.407,0.2586,9.9168,0.0298,0.0397,0.0115,0.7398,0.012,9.8354,-0.0085,-0.0623,-0.0136
12,3.0572003,1,rest_initial,1.1684,0.6919,9.0908,0.0711,0.0423,0.0096,0.3807,0.2322,9.8833,0.0304,0.0383,0.0162,0.7446,0.012,9.8641,-0.0088,-0.0613,-0.0165
13,3.0575212,1,rest_initial,1.0894,0.735,9.2033,0.0602,0.0386,0.0059,0.407,0.2514,9.8881,0.0322,0.0405,0.0168,0.7183,0.0335,9.8521,-0.0133,-0.057,-0.0136
14,3.0578242,1,rest_initial,1.0918,0.7374,9.1028,0.0629,0.0397,0.0067,0.3998,0.1987,9.8857,0.0264,0.0391,0.0173,0.7398,0.0335,9.8186,-0.0067,-0.0615,-0.0133
